                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.51803,                0.37787,                 1.0091,                0.96688,                0.97716,                 0.9892,                0.83015,                0.65683,                0.32204,                  1.104,              0.0014192,              0.0014192,              0.0014192
                     90,                0.52558,                0.38634,                 1.0061,                0.98187,                0.96192,                0.98217,                0.81794,                0.64615,                0.32816,                 1.1215,              0.0014126,              0.0014126,              0.0014126
                     91,                0.51348,                0.37318,                 1.0063,                0.97718,                0.97835,                0.99093,                0.83837,                0.63758,                0.30253,                 1.1212,               0.001406,               0.001406,               0.001406
                     92,                0.51903,                0.37892,                 1.0093,                0.96715,                0.97716,                0.98998,                0.84134,                0.62658,                0.30995,                  1.088,              0.0013994,              0.0013994,              0.0013994
                     93,                 0.5164,                0.37305,                0.99741,                0.97702,                 0.9713,                0.98986,                0.83817,                0.61656,                0.30767,                 1.0802,              0.0013928,              0.0013928,              0.0013928
                     94,                0.51083,                0.36677,                 1.0084,                0.98652,                0.97208,                0.99167,                0.83085,                  0.635,                0.31374,                 1.1065,              0.0013862,              0.0013862,              0.0013862
                     95,                0.50411,                0.37192,                 1.0046,                0.98227,                0.97462,                0.99212,                 0.8306,                0.65189,                0.32106,                  1.131,              0.0013796,              0.0013796,              0.0013796
                     96,                0.51488,                0.37578,                 1.0033,                0.98448,                0.96595,                 0.9909,                0.84178,                0.62161,                0.31661,                 1.0921,               0.001373,               0.001373,               0.001373
                     97,                0.50686,                0.36786,                 1.0006,                0.97822,                 0.9797,                 0.9911,                0.83758,                0.63828,                0.29888,                 1.1137,              0.0013664,              0.0013664,              0.0013664
                     98,                0.48966,                0.35533,                0.98994,                 0.9656,                0.97716,                0.98824,                0.82915,                0.63154,                0.30754,                 1.1013,              0.0013598,              0.0013598,              0.0013598
                     99,                0.48809,                0.35488,                0.99157,                0.96006,                0.97621,                0.98935,                0.83767,                0.64452,                0.31696,                 1.1061,              0.0013532,              0.0013532,              0.0013532
                    100,                0.49053,                0.35484,                0.99049,                0.97929,                0.96004,                0.99204,                0.83966,                0.62981,                0.29627,                  1.085,              0.0013466,              0.0013466,              0.0013466
                    101,                0.48946,                0.35537,                0.98614,                0.97163,                0.96954,                 0.9881,                0.84169,                0.62819,                 0.3033,                 1.1061,                0.00134,                0.00134,                0.00134
                    102,                 0.4781,                0.35012,                 0.9812,                0.97706,                0.97302,                 0.9918,                0.83791,                0.62255,                0.30646,                 1.1035,              0.0013334,              0.0013334,              0.0013334
                    103,                0.48024,                0.34475,                0.98494,                0.98455,                0.97042,                0.99208,                0.84145,                 0.6291,                0.29974,                 1.1045,              0.0013268,              0.0013268,              0.0013268
